"Name","arch","encoder_name","Params Mb","GFLOPs","F1 Score","mIOU"
"PAN-M","PAN","MobileNet","3.1","1.42","0.9824514389038086","0.9509640336036682"
"PAN-E","PAN","EfficientNet","17.7","10.73","0.9852120280265808","0.9574434757232666"
"PAN-R","PAN","ResNet","24.3","23.1","0.9843798875808716","0.9544160962104796"
"DLV3P-M","DLV3P","MobileNet","4.7","3.13","0.9826580286026","0.9513039588928224"
"DLV3P-E","DLV3P","EfficientNet","18.6","12.04","0.9845977425575256","0.9550594687461852"
"DLV3P-R","DLV3P","ResNet","26.7","24.39","0.9843763113021852","0.9560964107513428"
"Unet-M","Unet","MobileNet","6.7","8.2","0.9840790629386902","0.9564931392669678"
"Unet-E","Unet","EfficientNet","20.2","12.39","0.9856194853782654","0.957360565662384"
"Unet-X","Unet","Xception","28.8","28.05","0.9855665564537048","0.9579783082008362"
"Unet-R","Unet","ResNet","32.5","28.35","0.9848235845565796","0.9552907943725586"
"Unet-T","Unet","MiT","16.5","13.89","0.986666738986969","0.9617975950241088"